Drug_A,Drug_A_SMILES,Drug_B,Drug_B_SMILES,A_MW,B_MW,Delta_MW,A_LogP,B_LogP,Delta_LogP,A_HBD,B_HBD,Delta_HBD,A_HBA,B_HBA,Delta_HBA,A_TPSA,B_TPSA,Delta_TPSA,A_Rotatable_Bonds,B_Rotatable_Bonds,Delta_Rotatable_Bonds,A_pKa_Acidic,B_pKa_Acidic,Delta_pKa_Acidic,A_pKa_Basic,B_pKa_Basic,Delta_pKa_Basic,A_Solubility_mg_ml,B_Solubility_mg_ml,Delta_Solubility_mg_ml,Chemical_Distance,Tanimoto_Similarity,Oral_Compatibility_Label
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Soltamox,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,958.2,563.6,394.6,5.01,5.93,-0.92,3,4,-1,14,9,5,205,145,60,9,13,-4,9.96,0,9.96,-2.7,8.76,-11.46,0.00163,0.00102,0.00061,399.4778337,0.0625,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Talazoparib Tosylate,CC1=CC=C(C=C1)S(=O)(=O)O.CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,958.2,552.6,405.6,5.01,2.93,2.08,3,3,0,14,10,4,205,147,58,9,3,6,9.96,9.48,0.48,-2.7,1.66,-4.36,0.00163,0.101,-0.09937,409.8181747,0.075,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Talzenna,nan,958.2,458.6,499.6,5.01,2.5,2.51,3,3,0,14,8,6,205,112,93,9,5,4,9.96,10.32,-0.36,-2.7,3.32,-6.02,0.00163,0.0253,-0.02367,508.2753493,0,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Tamoxifen Citrate,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,958.2,563.6,394.6,5.01,5.93,-0.92,3,4,-1,14,9,5,205,145,60,9,13,-4,9.96,0,9.96,-2.7,8.76,-11.46,0.00163,0.00102,0.00061,399.4778337,0.0625,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Taxotere,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,958.2,807.9,150.3,5.01,2.59,2.42,3,5,-2,14,14,0,205,224,-19,9,13,-4,9.96,11.9,-1.94,-2.7,-3,0.3,0.00163,0.0127,-0.01107,151.5941955,0.120689655,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Tepadina,C1CN1P(=S)(N2CC2)N3CC3,958.2,189.22,768.98,5.01,0.17,4.84,3,0,3,14,4,10,205,41.1,163.9,9,3,6,9.96,0,9.96,-2.7,-0.3,-2.4,0.00163,9.27,-9.26837,786.4812396,0.03539823,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Tepylute,C1CN1P(=S)(N2CC2)N3CC4,958.2,189.22,768.98,5.01,0.17,4.84,3,0,3,14,4,10,205,41.1,163.9,9,3,6,9.96,0,9.96,-2.7,-0.3,-2.4,0.00163,9.27,-9.26837,786.4812396,0,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Thiotepa,C1CN1P(=S)(N2CC2)N3CC3,958.2,189.22,768.98,5.01,0.17,4.84,3,0,3,14,4,10,205,41.1,163.9,9,3,6,9.96,0,9.96,-2.7,-0.3,-2.4,0.00163,9.27,-9.26837,786.4812396,0.03539823,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Toremifene,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3,958.2,406,552.2,5.01,5.65,-0.64,3,0,3,14,2,12,205,12.5,192.5,9,9,0,9.96,0,9.96,-2.7,8.76,-11.46,0.00163,0.000409,0.001221,585.1196739,0.058823529,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Trodelvy,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)OC(=O)OCC5=CC=C(C=C5)NC(=O)[C@H](CCCCN)NC(=O)COCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCN6C=C(N=N6)CNC(=O)C7CCC(CC7)CN8C(=O)CC(C8=O)SC[C@@H](C(=O)O)N)C2=NC9=C1C=C(C=C9)O,958.2,1601.8,-643.6,5.01,0,5.01,3,8,-5,14,30,-16,205,497,-292,9,54,-45,9.96,0,9.96,-2.7,0,-2.7,0.00163,0,0.00163,708.4649262,0.112068966,0
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Truqap,C1CN(CCC1(C(=O)N[C@@H](CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,958.2,428.9,529.3,5.01,1.31,3.7,3,4,-1,14,6,8,205,120,85,9,6,3,9.96,13.03,-3.07,-2.7,8.33,-11.03,0.00163,0.0253,-0.02367,536.2856201,0.093959732,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Tucatinib,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5,958.2,480.5,477.7,5.01,3.87,1.14,3,2,1,14,8,6,205,111,94,9,6,3,9.96,17.08,-7.12,-2.7,4.57,-7.27,0.00163,0.004,-0.00237,487.0155407,0.0625,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Tukysa,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C6,958.2,480.5,477.7,5.01,3.87,1.14,3,2,1,14,8,6,205,111,94,9,6,3,9.96,17.08,-7.12,-2.7,4.57,-7.27,0.00163,0.004,-0.00237,487.0155407,0,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Tykerb,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,958.2,581.1,377.1,5.01,5.18,-0.17,3,2,1,14,9,5,205,115,90,9,11,-2,9.96,16.44,-6.48,-2.7,7.26,-9.96,0.00163,0.0223,-0.02067,387.911886,0.052941176,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Verzenio,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,958.2,506.6,451.6,5.01,4.25,0.76,3,1,2,14,9,5,205,75,130,9,7,2,9.96,10.27,-0.31,-2.7,7.94,-10.64,0.00163,0.0159,-0.01427,470.095143,0.104575163,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Vinblastine,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,958.2,811,147.2,5.01,4.22,0.79,3,3,0,14,12,2,205,154,51,9,10,-1,9.96,10.87,-0.91,-2.7,8.86,-11.56,0.00163,0.0169,-0.01527,156.2335624,0.086021505,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Vinblastine Sulfate,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,958.2,909.1,49.1,5.01,4.18,0.83,3,5,-2,14,16,-2,205,237,-32,9,10,-1,9.96,10.87,-0.91,-2.7,8.86,-11.56,0.00163,0.0169,-0.01527,59.8244167,0.084210526,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Xeloda,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,958.2,359.35,598.85,5.01,1.17,3.84,3,3,0,14,7,7,205,121,84,9,7,2,9.96,8.63,1.33,-2.7,0.073,-2.773,0.00163,0.248,-0.24637,604.7764771,0.11971831,1
Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Zoladex,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(=O)N)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6,958.2,1269.4,-311.2,5.01,0.3,4.71,3,17,-14,14,16,-2,205,496,-291,9,32,-23,9.96,9.36,0.6,-2.7,10.91,-13.61,0.00163,0.0283,-0.02667,427.1571337,0.092682927,0
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,441.5,293.4,148.1,2.81,1.58,1.23,2,0,2,8,4,4,129,78.3,50.7,4,4,0,7.79,1.4,6.39,2.81,2,0.81,0.00528,0.0661,-0.06082,156.7389703,0.091954023,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Aredia,C(CN)C(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],441.5,279.03,162.47,2.81,-4.5,7.31,2,4,-2,8,8,0,129,167,-38,4,4,0,7.79,0.67,7.12,2.81,9.86,-7.05,0.00528,15.8,-15.79472,168.0708395,0.064935065,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Arimidex,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,441.5,293.4,148.1,2.81,2.31,0.5,2,0,2,8,4,4,129,78.3,50.7,4,4,0,7.79,1.4,6.39,2.81,2,0.81,0.00528,0.0661,-0.06082,156.7349415,0.091954023,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Aromasin,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,441.5,296.4,145.1,2.81,2.67,0.14,2,0,2,8,2,6,129,34.1,94.9,4,0,4,7.79,0,7.79,2.81,-5,7.81,0.00528,0.00683,-0.00155,173.8899646,0.096774194,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Avgemsi,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,441.5,299.66,141.84,2.81,0.14,2.67,2,4,-2,8,6,2,129,108,21,4,2,2,7.79,11.52,-3.73,2.81,3.65,-0.84,0.00528,22.3,-22.29472,145.2252992,0.120879121,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Beizray,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,441.5,807.9,-366.4,2.81,2.4,0.41,2,5,-3,8,14,-6,129,224,-95,4,13,-9,7.79,11.9,-4.11,2.81,-3,5.81,0.00528,0.0127,-0.00742,378.7489622,0.102941176,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,441.5,359.35,82.15,2.81,1.17,1.64,2,3,-1,8,7,1,129,121,8,4,7,-3,7.79,8.63,-0.84,2.81,0.073,2.737,0.00528,0.248,-0.24272,82.67144478,0.14,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Capivasertib,C1CN(CCC1(C(=O)N[C@@H](CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,441.5,428.9,12.6,2.81,1.131,1.679,2,4,-2,8,6,2,129,120,9,4,6,-2,7.79,13.03,-5.24,2.81,8.33,-5.52,0.00528,0.0253,-0.02002,17.67788001,0.123809524,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,441.5,261.08,180.42,2.81,0.76,2.05,2,1,1,8,4,4,129,41.6,87.4,4,5,-1,7.79,13.48,-5.69,2.81,0,2.81,0.00528,15.1,-15.09472,201.1975688,0.035294118,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Docetaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,441.5,807.9,-366.4,2.81,2.92,-0.11,2,5,-3,8,14,-6,129,0,129,4,13,-9,7.79,11.9,-4.11,2.81,-3,5.81,0.00528,0.0127,-0.00742,388.6728963,0.102941176,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Doxorubicin Hydrochloride,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,441.5,580,-138.5,2.81,1.41,1.4,2,7,-5,8,12,-4,129,206,-77,4,5,-1,7.79,8.01,-0.22,2.81,10.03,-7.22,0.00528,1.18,-1.17472,158.772689,0.081300813,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Elacestrant Dihydrochloride,CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)[C@@H]3CCC4=C(C3)C=CC(=C4)O.Cl.Cl,441.5,531.6,-90.1,2.81,6.54,-3.73,2,4,-2,8,4,4,129,44.7,84.3,4,10,-6,7.79,10.58,-2.79,2.81,9.96,-7.15,0.00528,0.00035,0.00493,123.9085127,0.089285714,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Ellence,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,441.5,580,-138.5,2.81,1.41,1.4,2,7,-5,8,12,-4,129,206,-77,4,5,-1,7.79,8.01,-0.22,2.81,10.03,-7.22,0.00528,1.18,-1.17472,158.772689,0.081300813,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Epirubicin Hydrochloride,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,441.5,580,-138.5,2.81,0.54,2.27,2,7,-5,8,12,-4,129,206,-77,4,5,-1,7.79,8.01,-0.22,2.81,10.03,-7.22,0.00528,1.18,-1.17472,158.7827436,0.081300813,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Eribulin,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O,441.5,729.9,-288.4,2.81,1.26,1.55,2,2,0,8,12,-4,129,146,-17,4,4,0,7.79,14.82,-7.03,2.81,9.56,-6.75,0.00528,0.0798,-0.07452,289.0967856,0.068181818,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Eribulin Mesylate,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O.CS(=O)(=O)O,441.5,826,-384.5,2.81,1.26,1.55,2,3,-1,8,15,-7,129,209,-80,4,4,0,7.79,14.82,-7.03,2.81,9.56,-6.75,0.00528,0.0798,-0.07452,392.9219279,0.073529412,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Everolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,441.5,958.2,-516.7,2.81,5.01,-2.2,2,3,-1,8,14,-6,129,205,-76,4,9,-5,7.79,9.96,-2.17,2.81,-2.7,5.51,0.00528,0.00163,0.00365,522.3569651,0.077419355,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Exemestane,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,441.5,296.4,145.1,2.81,2.67,0.14,2,0,2,8,2,6,129,34.1,94.9,4,0,4,7.79,0,7.79,2.81,-5,7.81,0.00528,0.00683,-0.00155,173.8899646,0.096774194,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Fareston,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,441.5,598.1,-156.6,2.81,5.65,-2.84,2,4,-2,8,9,-1,129,145,-16,4,14,-10,7.79,0,7.79,2.81,8.76,-5.95,0.00528,0.000409,0.004871,158.0781839,0.088235294,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Faslodex,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,441.5,606.8,-165.3,2.81,7.57,-4.76,2,2,0,8,9,-1,129,76.7,52.3,4,14,-10,7.79,10.23,-2.44,2.81,-0.88,3.69,0.00528,0.00672,-0.00144,173.7889735,0.128440367,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Femara,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,441.5,285.3,156.2,2.81,1.86,0.95,2,0,2,8,4,4,129,78.3,50.7,4,3,1,7.79,0,7.79,2.81,1.89,0.92,0.00528,0.0799,-0.07462,164.4760425,0.058823529,1
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Fluorouracil,C1=C(C(=O)NC(=O)N1)F,441.5,130.08,311.42,2.81,-0.58,3.39,2,2,0,8,3,5,129,58.2,70.8,4,0,4,7.79,7.18,0.61,2.81,-8,10.81,0.00528,5.86,-5.85472,319.6858684,0.052631579,1
